GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0500000US36001,36001,"Albany County, New York",125329,2110,69122,2777,49765,2622,56207,3237,6.2,1.2,3.0,1.1,0.8,0.5,10.8,2.5,4.6,0.9,1.9,0.9,0.6,0.4,8.1,1.8,9.4,1.3,4.5,1.6,2.1,1.3,15.7,2.6,8.6,1.2,7.2,1.6,4.6,1.5,10.5,1.9,12.1,1.4,10.1,2.0,7.8,2.0,14.8,2.4,18.3,1.8,17.2,1.9,15.6,2.2,19.0,2.9,11.4,1.3,13.8,1.9,14.6,2.3,8.5,1.9,16.4,1.6,22.0,2.2,27.6,2.7,9.0,1.9,6.0,0.8,9.3,1.3,11.8,1.8,1.7,0.7,7.1,1.2,11.0,1.8,14.5,2.5,1.9,1.1,61754,2996,85897,5616,107425,6392,40299,2978,83464,3860,106202,5184,N,N,52871,3425,32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X)
0500000US36005,36005,"Bronx County, New York",498539,3078,331774,5984,143169,5990,166765,5728,14.4,0.9,10.0,0.9,2.6,0.6,25.8,1.8,8.8,0.8,7.0,0.9,4.5,0.9,12.8,1.4,13.1,0.8,13.5,1.1,10.0,1.5,12.8,1.2,10.8,0.8,11.0,1.0,9.8,1.3,9.9,1.3,13.6,0.8,14.9,1.0,13.1,1.4,12.1,1.2,16.2,0.9,17.1,1.1,20.6,1.7,14.1,1.7,9.2,0.7,9.6,0.9,13.1,1.4,7.0,1.0,9.0,0.7,11.1,1.1,15.3,1.8,3.9,0.8,2.9,0.4,3.5,0.5,6.4,1.0,0.9,0.3,2.0,0.3,2.3,0.3,4.5,0.8,0.7,0.3,37525,1266,42602,1658,61249,2523,23673,1723,53466,1375,59196,1715,79371,3231,36561,1709,42.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),44.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.7,(X)
0500000US36007,36007,"Broome County, New York",76957,2045,46264,2257,34412,1646,30693,2212,6.5,1.4,3.9,1.2,0.9,0.7,11.5,2.8,6.0,1.5,3.2,1.5,1.8,1.3,10.5,2.8,13.1,1.8,7.7,1.9,3.3,1.1,23.7,4.0,10.5,1.6,9.0,1.7,7.6,1.9,12.9,2.7,13.3,1.9,13.2,2.2,12.2,2.5,13.6,3.0,19.3,1.9,20.3,2.4,23.1,2.8,15.4,2.9,12.5,1.9,16.4,2.5,18.4,3.0,6.3,2.2,11.3,1.6,15.0,2.5,18.9,3.1,4.6,1.3,4.2,1.0,6.4,1.6,8.1,2.1,0.7,0.6,3.2,0.9,4.8,1.4,5.6,1.4,0.8,0.6,50463,2339,63692,4876,75885,3673,26920,2362,67239,3632,82375,4864,N,N,41473,4357,38.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.3,(X)
0500000US36009,36009,"Cattaraugus County, New York",31409,1137,19505,1091,13993,896,11904,1136,7.9,2.0,3.4,1.1,0.2,0.3,16.6,5.1,7.1,2.0,3.6,1.4,1.7,1.1,12.4,4.2,10.9,1.8,6.2,1.7,4.2,1.5,19.2,3.7,10.6,1.9,11.2,2.5,8.1,1.9,11.6,3.6,16.3,2.2,16.2,2.4,15.0,2.7,17.1,4.0,20.0,2.2,23.3,2.8,24.0,3.6,12.2,2.9,11.1,1.9,14.8,2.7,18.8,3.2,4.3,2.4,12.8,2.0,16.6,3.1,22.7,4.0,5.4,2.6,2.2,0.8,3.1,1.2,3.4,1.6,0.8,0.8,1.2,0.4,1.6,0.7,1.9,0.8,0.5,0.4,46842,3719,57699,5563,72245,3426,25977,3304,57722,2620,69266,3512,N,N,36092,3385,26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X)
0500000US36011,36011,"Cayuga County, New York",30966,1110,18539,1025,13311,1004,12427,1115,6.0,2.1,5.0,2.4,1.2,0.9,9.4,3.9,3.7,1.0,1.5,0.9,1.4,1.0,7.0,2.2,9.2,2.2,6.0,2.4,2.3,1.2,16.1,4.5,10.5,2.4,7.6,2.4,6.4,2.1,15.5,4.7,17.0,2.8,17.2,3.5,13.3,3.1,17.7,4.9,19.6,2.7,20.9,3.0,23.0,3.9,14.9,3.7,13.5,2.3,15.9,2.7,19.0,3.5,9.3,3.6,15.1,2.6,18.7,2.9,23.4,3.4,7.8,4.1,3.3,1.1,4.4,1.7,6.0,2.4,1.2,0.9,2.2,0.7,2.9,1.2,4.0,1.7,1.2,0.8,54995,4267,66121,3773,77689,4963,36164,3863,68575,3961,76794,4066,N,N,51709,7858,37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X)
0500000US36013,36013,"Chautauqua County, New York",51705,1835,31199,1743,24220,1593,20506,1506,7.5,1.3,4.0,1.5,1.4,0.8,14.1,3.4,6.9,1.6,3.8,2.0,1.0,0.9,12.5,3.3,14.5,2.1,8.1,2.5,6.0,2.6,24.4,3.1,11.9,1.6,10.5,1.9,10.4,2.3,13.5,3.0,16.2,2.2,15.7,3.2,14.7,3.2,15.9,3.4,17.0,2.0,21.3,3.2,23.9,3.8,10.6,2.4,11.9,1.9,16.7,2.7,19.4,3.3,4.5,1.9,10.6,1.6,15.3,2.3,18.1,2.8,2.5,1.1,2.3,0.8,3.4,1.2,4.0,1.5,0.7,0.6,1.3,0.6,1.2,0.7,1.1,0.6,1.3,0.8,42204,2801,56959,3319,65584,5616,24519,1851,55539,2728,66524,3196,N,N,37461,3941,32.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.5,(X)
0500000US36015,36015,"Chemung County, New York",34418,1411,21203,1435,N,N,13215,1580,7.5,2.1,2.7,1.6,N,N,15.8,5.0,5.7,1.7,1.3,0.9,N,N,13.2,4.1,13.2,2.4,6.4,2.7,N,N,24.9,5.5,10.5,2.2,12.1,3.5,N,N,8.9,2.9,11.2,2.2,11.6,3.3,N,N,11.2,3.3,17.1,2.7,20.2,3.3,N,N,11.6,4.2,14.0,3.0,18.2,3.8,N,N,8.2,4.1,12.6,2.4,16.2,3.6,N,N,4.0,3.5,4.8,1.4,6.7,2.3,N,N,0.9,1.0,3.4,1.4,4.7,2.1,N,N,1.4,1.2,51269,2894,69651,3954,82609,9584,23150,2620,67332,4643,82566,6056,N,N,39057,5849,32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.7,(X)
0500000US36019,36019,"Clinton County, New York",30624,1203,20266,1295,N,N,10358,1233,5.7,1.9,5.1,2.9,N,N,10.9,4.0,6.6,2.4,4.9,3.0,N,N,12.7,4.9,9.6,2.4,5.7,2.3,N,N,14.4,3.9,10.3,2.8,7.9,2.5,N,N,15.5,6.4,13.4,3.0,12.0,3.5,N,N,14.0,5.0,20.5,3.4,23.8,4.3,N,N,13.9,4.7,15.0,3.1,17.9,4.0,N,N,9.8,4.5,11.2,2.3,14.4,3.5,N,N,5.9,3.1,6.1,2.1,5.9,2.6,N,N,2.9,2.2,1.7,0.9,2.5,1.3,N,N,0.0,1.5,55316,4840,64266,7148,72724,5003,32279,4492,65214,4162,73337,5313,N,N,43961,5759,38.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
0500000US36027,36027,"Dutchess County, New York",108200,2382,71176,2722,53519,2496,37024,2665,3.7,0.9,2.0,0.9,0.7,0.5,7.7,2.2,4.0,0.9,2.3,0.8,1.5,0.7,7.3,2.4,7.0,1.3,3.2,1.1,2.4,0.9,14.5,3.5,7.9,1.3,6.2,1.3,3.0,1.0,11.9,2.9,11.4,1.5,9.4,1.7,7.7,1.6,15.7,3.3,16.5,1.6,16.9,1.9,15.6,2.2,15.6,3.2,12.3,1.5,13.1,1.7,12.9,2.0,11.4,3.0,19.0,1.8,22.8,2.2,25.8,2.8,10.0,2.4,9.3,1.2,12.3,1.8,15.6,2.2,2.8,1.2,9.0,1.2,11.7,1.7,14.9,2.1,3.3,1.3,74115,3444,91993,4759,110525,3797,42124,3374,99958,4172,117569,4909,N,N,62794,5569,37.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.1,(X)
0500000US36029,36029,"Erie County, New York",380473,3446,222109,4616,155486,4264,158364,4898,8.2,0.8,4.4,0.8,1.9,0.6,14.3,1.7,5.6,0.5,2.8,0.6,1.4,0.5,9.8,1.1,10.2,0.7,6.3,0.9,3.6,0.7,15.7,1.3,9.7,0.7,7.5,0.9,4.5,0.7,13.5,1.3,12.3,0.9,11.3,1.1,9.4,1.1,14.2,1.4,17.5,0.9,18.7,1.2,18.3,1.4,15.1,1.3,12.9,0.8,15.7,1.1,17.5,1.3,8.7,1.1,13.6,0.8,19.0,1.3,24.0,1.7,5.5,1.0,5.4,0.4,7.8,0.7,10.6,1.0,1.8,0.6,4.4,0.5,6.5,0.7,8.9,1.0,1.3,0.5,54246,1403,73253,2634,90175,2431,31841,1253,73544,1947,92176,2676,108991,3657,45212,2015,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X)
